Attribute,Value,Date_GBP,Date_usd,Date_EUR,Day Name_fOR_USD,Day_ Name_EUR,Day_Name_GBP
USD,93.276,29/07/2010,28/04/2010,23/07/2010,Wednesday,Friday,Thursday
USD,93.298,09/12/2011,02/09/2011,05/12/2011,Friday,Monday,Friday
USD,93.298,08/12/2011,01/09/2011,02/12/2011,Thursday,Friday,Thursday
USD,93.363,12/07/2010,09/04/2010,06/07/2010,Friday,Tuesday,Monday
USD,93.413,27/07/2010,26/04/2010,21/07/2010,Monday,Wednesday,Tuesday
USD,93.453,12/12/2011,05/09/2011,06/12/2011,Monday,Tuesday,Monday
USD,93.584,13/12/2011,06/09/2011,07/12/2011,Tuesday,Wednesday,Tuesday
USD,93.584,14/12/2011,07/09/2011,08/12/2011,Wednesday,Thursday,Wednesday
USD,93.612,16/12/2011,09/09/2011,12/12/2011,Friday,Monday,Friday
USD,93.612,15/12/2011,08/09/2011,09/12/2011,Thursday,Friday,Thursday
USD,93.653,19/12/2011,12/09/2011,13/12/2011,Monday,Tuesday,Monday
USD,93.653,23/07/2010,22/04/2010,19/07/2010,Thursday,Monday,Friday
USD,93.654,13/07/2010,12/04/2010,07/07/2010,Monday,Wednesday,Tuesday
USD,93.751,21/07/2010,20/04/2010,15/07/2010,Tuesday,Thursday,Wednesday
USD,93.751,22/07/2010,21/04/2010,16/07/2010,Wednesday,Friday,Thursday
USD,93.786,20/12/2011,13/09/2011,14/12/2011,Tuesday,Wednesday,Tuesday
USD,93.786,21/12/2011,14/09/2011,15/12/2011,Wednesday,Thursday,Wednesday
USD,93.895,14/07/2010,13/04/2010,08/07/2010,Tuesday,Thursday,Wednesday
USD,93.895,15/07/2010,14/04/2010,09/07/2010,Wednesday,Friday,Thursday
USD,93.904,20/07/2010,19/04/2010,14/07/2010,Monday,Wednesday,Tuesday
USD,93.92,19/07/2010,16/04/2010,13/07/2010,Friday,Tuesday,Monday
USD,93.92,16/07/2010,15/04/2010,12/07/2010,Thursday,Monday,Friday
USD,94.028,23/12/2011,16/09/2011,19/12/2011,Friday,Monday,Friday
USD,94.324,28/12/2011,20/09/2011,21/12/2011,Tuesday,Wednesday,Wednesday
USD,94.324,29/12/2011,21/09/2011,22/12/2011,Wednesday,Thursday,Thursday
USD,94.333,04/01/2012,23/09/2011,26/12/2011,Friday,Monday,Wednesday
USD,94.333,30/12/2011,22/09/2011,23/12/2011,Thursday,Friday,Friday
USD,94.379,05/01/2012,26/09/2011,28/12/2011,Monday,Wednesday,Thursday
USD,94.428,06/01/2012,27/09/2011,29/12/2011,Tuesday,Thursday,Friday
USD,94.428,09/01/2012,28/09/2011,30/12/2011,Wednesday,Friday,Monday
USD,94.461,11/01/2012,30/09/2011,05/01/2012,Friday,Thursday,Wednesday
USD,94.461,10/01/2012,29/09/2011,04/01/2012,Thursday,Wednesday,Tuesday
USD,94.481,12/01/2012,03/10/2011,06/01/2012,Monday,Friday,Thursday
USD,94.497,13/01/2012,04/10/2011,09/01/2012,Tuesday,Monday,Friday
USD,94.498,22/12/2011,15/09/2011,16/12/2011,Thursday,Friday,Thursday
USD,94.518,26/12/2011,19/09/2011,20/12/2011,Monday,Tuesday,Monday
USD,94.545,18/01/2012,07/10/2011,11/01/2012,Friday,Wednesday,Wednesday
USD,94.545,17/01/2012,06/10/2011,10/01/2012,Thursday,Tuesday,Tuesday
USD,94.666,19/01/2012,10/10/2011,12/01/2012,Monday,Thursday,Thursday
USD,94.714,23/01/2012,11/10/2011,13/01/2012,Tuesday,Friday,Monday
USD,94.779,25/01/2012,14/10/2011,18/01/2012,Friday,Wednesday,Wednesday
USD,94.779,24/01/2012,13/10/2011,17/01/2012,Thursday,Tuesday,Tuesday
USD,94.841,26/01/2012,17/10/2011,19/01/2012,Monday,Thursday,Thursday
USD,94.855,27/01/2012,18/10/2011,23/01/2012,Tuesday,Monday,Friday
USD,94.855,31/01/2012,19/10/2011,24/01/2012,Wednesday,Tuesday,Tuesday
USD,94.871,02/02/2012,21/10/2011,26/01/2012,Friday,Thursday,Thursday
USD,94.871,01/02/2012,20/10/2011,25/01/2012,Thursday,Wednesday,Wednesday
USD,94.885,03/02/2012,24/10/2011,27/01/2012,Monday,Friday,Friday
USD,94.9,06/02/2012,25/10/2011,31/01/2012,Tuesday,Tuesday,Monday
USD,94.9,08/02/2012,26/10/2011,01/02/2012,Wednesday,Wednesday,Wednesday
USD,94.914,16/02/2012,28/10/2011,03/02/2012,Friday,Friday,Thursday
USD,94.914,10/02/2012,27/10/2011,02/02/2012,Thursday,Thursday,Friday
USD,94.928,20/02/2012,31/10/2011,06/02/2012,Monday,Monday,Monday
USD,94.937,29/02/2012,04/11/2011,16/02/2012,Friday,Thursday,Wednesday
USD,94.937,27/02/2012,03/11/2011,10/02/2012,Thursday,Friday,Monday
USD,94.937,24/02/2012,01/11/2011,08/02/2012,Tuesday,Wednesday,Friday
USD,94.946,01/03/2012,07/11/2011,20/02/2012,Monday,Monday,Thursday
USD,94.957,02/03/2012,08/11/2011,24/02/2012,Tuesday,Friday,Friday
USD,94.957,05/03/2012,09/11/2011,27/02/2012,Wednesday,Monday,Monday
USD,94.965,07/03/2012,14/11/2011,29/02/2012,Monday,Wednesday,Wednesday
USD,94.973,09/03/2012,15/11/2011,01/03/2012,Tuesday,Thursday,Friday
USD,94.973,12/03/2012,16/11/2011,02/03/2012,Wednesday,Friday,Monday
USD,94.982,14/03/2012,18/11/2011,07/03/2012,Friday,Wednesday,Wednesday
USD,94.982,13/03/2012,17/11/2011,05/03/2012,Thursday,Monday,Tuesday
USD,94.991,15/03/2012,21/11/2011,09/03/2012,Monday,Friday,Thursday
USD,94.999,16/03/2012,22/11/2011,12/03/2012,Tuesday,Monday,Friday
USD,94.999,19/03/2012,23/11/2011,13/03/2012,Wednesday,Tuesday,Monday
USD,95.005,21/03/2012,25/11/2011,15/03/2012,Friday,Thursday,Wednesday
USD,95.005,20/03/2012,24/11/2011,14/03/2012,Thursday,Wednesday,Tuesday
USD,95.009,22/03/2012,28/11/2011,16/03/2012,Monday,Friday,Thursday
USD,95.014,23/03/2012,29/11/2011,19/03/2012,Tuesday,Monday,Friday
USD,95.014,26/03/2012,30/11/2011,20/03/2012,Wednesday,Tuesday,Monday
USD,95.018,27/03/2012,02/12/2011,21/03/2012,Friday,Wednesday,Tuesday
USD,95.022,29/03/2012,05/12/2011,22/03/2012,Monday,Thursday,Thursday
USD,95.026,30/03/2012,06/12/2011,23/03/2012,Tuesday,Friday,Friday
USD,95.026,02/04/2012,07/12/2011,26/03/2012,Wednesday,Monday,Monday
USD,95.03,05/04/2012,09/12/2011,29/03/2012,Friday,Thursday,Thursday
USD,95.03,03/04/2012,08/12/2011,27/03/2012,Thursday,Tuesday,Tuesday
USD,95.033,09/04/2012,12/12/2011,30/03/2012,Monday,Friday,Monday
USD,95.036,10/04/2012,13/12/2011,02/04/2012,Tuesday,Monday,Tuesday
USD,95.036,11/04/2012,14/12/2011,03/04/2012,Wednesday,Tuesday,Wednesday
USD,95.038,13/04/2012,16/12/2011,09/04/2012,Friday,Monday,Friday
USD,95.038,12/04/2012,15/12/2011,05/04/2012,Thursday,Thursday,Thursday
USD,95.039,17/04/2012,19/12/2011,10/04/2012,Monday,Tuesday,Tuesday
USD,95.04,18/04/2012,20/12/2011,11/04/2012,Tuesday,Wednesday,Wednesday
USD,95.04,19/04/2012,21/12/2011,12/04/2012,Wednesday,Thursday,Thursday
USD,95.041,23/04/2012,23/12/2011,17/04/2012,Friday,Tuesday,Monday
USD,95.041,20/04/2012,22/12/2011,13/04/2012,Thursday,Friday,Friday
USD,95.042,24/04/2012,26/12/2011,18/04/2012,Monday,Wednesday,Tuesday
USD,95.043,25/04/2012,28/12/2011,19/04/2012,Wednesday,Thursday,Wednesday
USD,95.044,30/04/2012,30/12/2011,23/04/2012,Friday,Monday,Monday
USD,95.044,27/04/2012,29/12/2011,20/04/2012,Thursday,Friday,Friday
USD,95.044,02/05/2012,04/01/2012,24/04/2012,Wednesday,Tuesday,Wednesday
USD,95.045,04/05/2012,06/01/2012,27/04/2012,Friday,Friday,Friday
USD,95.045,03/05/2012,05/01/2012,25/04/2012,Thursday,Wednesday,Thursday
USD,95.047,08/05/2012,09/01/2012,30/04/2012,Monday,Monday,Tuesday
USD,95.048,09/05/2012,10/01/2012,02/05/2012,Tuesday,Wednesday,Wednesday
USD,95.048,10/05/2012,11/01/2012,03/05/2012,Wednesday,Thursday,Thursday
USD,95.049,16/05/2012,13/01/2012,08/05/2012,Friday,Tuesday,Wednesday
USD,95.049,15/05/2012,12/01/2012,04/05/2012,Thursday,Friday,Tuesday
USD,95.05,17/05/2012,17/01/2012,09/05/2012,Tuesday,Wednesday,Thursday
USD,95.05,18/05/2012,18/01/2012,10/05/2012,Wednesday,Thursday,Friday
USD,95.051,21/05/2012,19/01/2012,15/05/2012,Thursday,Tuesday,Monday
USD,95.052,23/05/2012,23/01/2012,16/05/2012,Monday,Wednesday,Wednesday
USD,95.053,24/05/2012,24/01/2012,17/05/2012,Tuesday,Thursday,Thursday
USD,95.053,25/05/2012,25/01/2012,18/05/2012,Wednesday,Friday,Friday
USD,95.054,29/05/2012,27/01/2012,23/05/2012,Friday,Wednesday,Tuesday
USD,95.054,28/05/2012,26/01/2012,21/05/2012,Thursday,Monday,Monday
USD,95.055,05/06/2012,03/02/2012,29/05/2012,Friday,Tuesday,Tuesday
USD,95.055,04/06/2012,02/02/2012,28/05/2012,Thursday,Monday,Monday
USD,95.055,31/05/2012,31/01/2012,24/05/2012,Tuesday,Thursday,Thursday
USD,95.055,01/06/2012,01/02/2012,25/05/2012,Wednesday,Friday,Friday
USD,95.057,06/06/2012,06/02/2012,31/05/2012,Monday,Thursday,Wednesday
USD,95.058,07/06/2012,08/02/2012,01/06/2012,Wednesday,Friday,Thursday
USD,95.059,11/06/2012,10/02/2012,04/06/2012,Friday,Monday,Monday
USD,95.062,12/06/2012,16/02/2012,05/06/2012,Thursday,Tuesday,Tuesday
USD,95.063,13/06/2012,20/02/2012,06/06/2012,Monday,Wednesday,Wednesday
USD,95.065,14/06/2012,24/02/2012,07/06/2012,Friday,Thursday,Thursday
USD,95.066,15/06/2012,27/02/2012,11/06/2012,Monday,Monday,Friday
USD,95.067,18/06/2012,29/02/2012,12/06/2012,Wednesday,Tuesday,Monday
USD,95.068,20/06/2012,02/03/2012,14/06/2012,Friday,Thursday,Wednesday
USD,95.068,19/06/2012,01/03/2012,13/06/2012,Thursday,Wednesday,Tuesday
USD,95.069,21/06/2012,05/03/2012,15/06/2012,Monday,Friday,Thursday
USD,95.07,25/06/2012,09/03/2012,19/06/2012,Friday,Tuesday,Monday
USD,95.07,22/06/2012,07/03/2012,18/06/2012,Wednesday,Monday,Friday
USD,95.072,27/06/2012,12/03/2012,20/06/2012,Monday,Wednesday,Wednesday
USD,95.073,29/06/2012,13/03/2012,21/06/2012,Tuesday,Thursday,Friday
USD,95.073,02/07/2012,14/03/2012,22/06/2012,Wednesday,Friday,Monday
USD,95.074,04/07/2012,16/03/2012,27/06/2012,Friday,Wednesday,Wednesday
USD,95.074,03/07/2012,15/03/2012,25/06/2012,Thursday,Monday,Tuesday
USD,95.075,05/07/2012,19/03/2012,29/06/2012,Monday,Friday,Thursday
USD,95.075,06/07/2012,20/03/2012,02/07/2012,Tuesday,Monday,Friday
USD,95.075,09/07/2012,21/03/2012,03/07/2012,Wednesday,Tuesday,Monday
USD,95.077,11/07/2012,23/03/2012,05/07/2012,Friday,Thursday,Wednesday
USD,95.077,10/07/2012,22/03/2012,04/07/2012,Thursday,Wednesday,Tuesday
USD,95.078,12/07/2012,26/03/2012,06/07/2012,Monday,Friday,Thursday
USD,95.079,17/07/2012,30/03/2012,11/07/2012,Friday,Wednesday,Tuesday
USD,95.079,16/07/2012,29/03/2012,10/07/2012,Thursday,Tuesday,Monday
