Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,97.20251,2006,January,2006,January,2006,January
EUR,97.21571,2006,April,2006,April,2006,March
EUR,97.24742,2004,April,2004,April,2004,April
EUR,97.25023,2006,January,2006,January,2006,January
EUR,97.25275,2004,May,2004,May,2004,May
EUR,97.31579,2006,March,2006,March,2006,March
EUR,97.33025,2004,March,2004,March,2004,March
EUR,97.33711,2004,March,2004,March,2004,March
EUR,97.35126,2004,May,2004,May,2004,May
EUR,97.36758,2006,April,2006,April,2006,April
EUR,97.40895,2004,April,2004,April,2004,April
EUR,97.4119,2006,January,2006,January,2006,January
EUR,97.4164,2004,April,2004,April,2004,April
EUR,97.42258,2006,January,2006,January,2006,January
EUR,97.42454,2004,March,2004,March,2004,March
EUR,97.428,2006,March,2006,March,2006,March
EUR,97.43923,2006,January,2006,January,2005,December
EUR,97.46657,2006,January,2006,January,2005,December
EUR,97.504,2008,November,2008,November,2008,August
EUR,97.52484,2006,January,2006,January,2006,January
EUR,97.606,2009,February,2009,February,2008,October
EUR,97.654,2009,March,2009,March,2008,November
EUR,97.67444,2006,April,2006,April,2006,April
EUR,97.68857,2004,March,2004,March,2004,March
EUR,97.69136,2004,May,2004,May,2004,April
EUR,97.7026,2006,April,2006,April,2006,March
EUR,97.71009,2004,May,2004,May,2004,May
EUR,97.91048,2006,January,2006,January,2006,January
EUR,97.91101,2004,March,2004,March,2004,March
EUR,97.96589,2004,April,2004,April,2004,April
EUR,97.98943,2004,April,2004,April,2004,April
EUR,98.02396,2005,November,2005,November,2005,November
EUR,98.03807,2004,May,2004,May,2004,May
EUR,98.03821,2004,March,2004,March,2004,March
EUR,98.05488,2005,November,2005,November,2005,November
EUR,98.0645,2004,April,2004,April,2004,April
EUR,98.11864,2004,April,2004,April,2004,April
EUR,98.13309,2004,March,2004,March,2004,March
EUR,98.15447,2006,January,2006,January,2006,January
EUR,98.1802,2006,April,2006,April,2006,April
EUR,98.199,2009,January,2009,January,2008,September
EUR,98.22691,2004,March,2004,March,2004,March
EUR,98.22894,2004,March,2004,March,2004,March
EUR,98.23691,2006,April,2006,April,2006,March
EUR,98.29097,2004,May,2004,May,2004,May
EUR,98.325,2009,January,2009,January,2008,September
EUR,98.33225,2004,March,2004,March,2004,March
EUR,98.35433,2004,May,2004,May,2004,May
EUR,98.37793,2004,March,2004,March,2004,March
EUR,98.397,2009,January,2009,January,2008,October
