Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,646.15489,2020,July,2020,July,2020,April
EUR,646.18806,2020,May,2020,June,2020,March
EUR,646.51309,2020,July,2020,July,2020,April
EUR,646.79104,2020,July,2020,July,2020,April
EUR,647.02243,2020,June,2020,June,2020,March
EUR,647.3866,2020,July,2020,July,2020,April
EUR,647.87561,2020,June,2020,June,2020,March
EUR,648.07897,2020,June,2020,July,2020,April
EUR,648.87941,2020,July,2020,July,2020,April
EUR,648.931,2021,November,2021,December,2021,August
EUR,649.41859,2020,June,2020,July,2020,April
EUR,649.67746,2020,July,2020,August,2020,May
EUR,649.90687,2020,July,2020,July,2020,April
EUR,650.73755,2023,June,2023,June,2023,March
EUR,650.95448,2020,June,2020,July,2020,April
EUR,651.7666,2020,July,2020,July,2020,April
EUR,652.71862,2020,July,2020,August,2020,May
EUR,652.768,2020,July,2020,August,2020,May
EUR,652.77361,2020,July,2020,July,2020,May
EUR,653.21563,2020,June,2020,June,2020,March
EUR,656.01112,2020,June,2020,June,2020,March
EUR,656.019,2021,November,2021,November,2021,August
EUR,658.651,2021,November,2021,November,2021,August
EUR,659.763,2021,November,2021,November,2021,August
EUR,659.763,2021,November,2021,December,2021,August
EUR,661.36672,2020,June,2020,June,2020,March
EUR,662.875,2021,November,2021,December,2021,August
EUR,664.14682,2020,June,2020,June,2020,March
EUR,666.02234,2023,June,2023,June,2023,March
EUR,666.58682,2020,June,2020,June,2020,March
EUR,668.7645,2020,July,2020,August,2020,May
EUR,669.75014,2020,June,2020,June,2020,March
EUR,671.30289,2020,June,2020,June,2020,March
EUR,671.428,2021,November,2021,November,2021,August
EUR,672.55655,2020,June,2020,June,2020,March
EUR,672.61566,2020,June,2020,June,2020,March
EUR,673.12691,2020,June,2020,June,2020,March
EUR,673.32057,2020,June,2020,June,2020,March
EUR,674.31833,2020,August,2020,August,2020,May
EUR,674.41548,2020,June,2020,June,2020,March
EUR,674.59588,2020,June,2020,June,2020,March
EUR,675.095,2021,November,2021,November,2021,August
EUR,675.484,2020,August,2020,August,2020,May
EUR,675.58782,2020,August,2020,August,2020,May
EUR,676.976,2021,November,2021,November,2021,August
EUR,677.602,2021,November,2021,November,2021,August
EUR,677.98407,2020,June,2020,June,2020,March
EUR,678.60905,2020,August,2020,August,2020,May
EUR,681.0339,2020,August,2020,August,2020,May
EUR,683.333,2021,November,2021,November,2021,August
EUR,683.34717,2023,June,2023,June,2023,March
EUR,685.97059,2020,August,2020,August,2020,May
EUR,686.08436,2020,August,2020,August,2020,May
EUR,687.09951,2020,August,2020,August,2020,May
EUR,687.25658,2020,August,2020,August,2020,May
EUR,688.132,2021,November,2021,November,2021,August
EUR,688.93312,2020,August,2020,August,2020,May
EUR,689.01081,2020,August,2020,August,2020,May
EUR,690.167,2021,November,2021,November,2021,August
EUR,690.49,2021,November,2021,November,2021,August
EUR,690.511,2021,October,2021,October,2021,July
EUR,690.55,2021,November,2021,November,2021,August
EUR,690.867,2021,October,2021,October,2021,July
EUR,691.318,2021,October,2021,October,2021,July
EUR,691.3886,2020,August,2020,August,2020,June
EUR,691.53,2021,October,2021,October,2021,July
EUR,691.706,2021,October,2021,October,2021,July
EUR,691.886,2021,October,2021,October,2021,July
EUR,692.013,2021,November,2021,November,2021,August
EUR,692.281,2021,October,2021,November,2021,August
EUR,692.72,2021,October,2021,October,2021,July
EUR,692.779,2021,October,2021,October,2021,July
EUR,693.0904,2020,August,2020,September,2020,June
EUR,693.208,2021,September,2021,October,2021,July
EUR,693.266,2021,October,2021,November,2021,August
EUR,693.545,2021,October,2021,November,2021,July
EUR,693.658,2021,October,2021,October,2021,July
EUR,694.107,2021,October,2021,October,2021,July
EUR,694.181,2021,October,2021,October,2021,July
EUR,694.24724,2020,August,2020,August,2020,May
EUR,694.388,2021,October,2021,October,2021,July
EUR,694.925,2021,October,2021,October,2021,July
EUR,695.066,2021,October,2021,October,2021,July
EUR,695.166,2021,October,2021,October,2021,July
EUR,695.744,2021,October,2021,November,2021,August
EUR,695.744,2021,November,2021,November,2021,August
EUR,696.286,2021,October,2021,October,2021,July
EUR,696.577,2021,October,2021,October,2021,July
EUR,696.6576,2020,August,2020,August,2020,June
EUR,696.99,2020,May,2020,May,2020,February
EUR,696.99,2020,August,2020,August,2020,May
EUR,698.67912,2020,August,2020,September,2020,June
EUR,699.48,2021,September,2021,October,2021,July
EUR,701.843,2021,September,2021,October,2021,July
EUR,703.254,2021,September,2021,October,2021,July
EUR,704.006,2021,September,2021,September,2021,June
EUR,706.926,2021,September,2021,September,2021,June
EUR,709.54778,2020,August,2020,September,2020,June
EUR,709.669,2020,August,2020,August,2020,May
EUR,711.42737,2023,June,2023,June,2023,March
EUR,716.66263,2020,August,2020,September,2020,June
EUR,717.977,2020,September,2020,October,2020,July
EUR,719.4,2021,September,2021,September,2021,June
EUR,720.576,2021,September,2021,September,2021,June
EUR,723.592,2020,September,2020,October,2020,June
EUR,723.83201,2020,September,2020,September,2020,June
EUR,723.928,2020,September,2020,October,2020,July
EUR,723.996,2020,September,2020,September,2020,June
EUR,724.82788,2023,June,2023,June,2023,March
EUR,725.226,2020,September,2020,September,2020,June
EUR,725.27,2021,September,2021,September,2021,June
EUR,725.42608,2020,September,2020,September,2020,June
EUR,726.13008,2020,September,2020,September,2020,June
EUR,726.173,2020,September,2020,October,2020,July
EUR,726.74367,2020,September,2020,September,2020,June
EUR,727.372,2020,September,2020,September,2020,June
EUR,728.24,2020,September,2020,September,2020,June
EUR,728.469,2020,September,2020,September,2020,June
EUR,728.49159,2020,September,2020,September,2020,June
EUR,728.625,2020,September,2020,September,2020,June
EUR,731.168,2021,March,2021,March,2020,December
EUR,731.927,2021,March,2021,April,2020,December
EUR,731.946,2020,September,2020,September,2020,June
EUR,731.967,2021,March,2021,March,2020,December
EUR,732.113,2021,March,2021,April,2020,December
EUR,732.23835,2020,September,2020,September,2020,June
EUR,732.336,2021,March,2021,March,2020,December
EUR,733.043,2021,March,2021,March,2020,December
EUR,733.121,2021,September,2021,September,2021,June
EUR,733.132,2021,March,2021,April,2020,December
EUR,733.645,2021,March,2021,March,2020,December
EUR,733.74582,2020,September,2020,September,2020,June
EUR,733.757,2021,April,2021,April,2020,December
EUR,733.788,2021,March,2021,April,2020,December
EUR,733.794,2021,March,2021,March,2020,December
EUR,733.915,2021,March,2021,March,2020,December
EUR,734.35,2021,April,2021,April,2020,December
EUR,734.508,2020,October,2020,October,2020,July
EUR,734.585,2021,September,2021,September,2021,June
EUR,734.61,2021,September,2021,September,2021,June
EUR,734.629,2021,March,2021,March,2020,December
EUR,734.717,2021,March,2021,March,2020,December
EUR,735.571,2020,October,2020,October,2020,July
EUR,735.644,2020,September,2020,September,2020,June
EUR,735.903,2021,March,2021,March,2020,December
EUR,735.948,2021,April,2021,April,2021,January
EUR,736.30945,2023,June,2023,June,2023,March
EUR,736.327,2021,March,2021,March,2020,December
EUR,739.419,2020,September,2020,September,2020,June
EUR,739.443,2021,March,2021,March,2020,December
EUR,739.551,2021,April,2021,April,2021,January
EUR,739.58,2020,October,2020,October,2020,July
EUR,739.736,2021,September,2021,September,2021,June
EUR,740.766,2021,April,2021,April,2021,January
EUR,740.797,2021,April,2021,April,2021,January
EUR,742.318,2021,September,2021,September,2021,June
EUR,743.063,2021,August,2021,August,2021,May
EUR,743.604,2021,September,2021,September,2021,June
EUR,744.309,2020,October,2020,October,2020,July
EUR,744.559,2021,August,2021,August,2021,May
EUR,744.938,2021,March,2021,March,2020,December
EUR,745.605,2021,August,2021,August,2021,May
EUR,745.734,2021,August,2021,August,2021,May
EUR,746.667,2021,August,2021,August,2021,June
EUR,746.792,2021,August,2021,September,2021,June
EUR,746.921,2021,August,2021,August,2021,May
EUR,747.226,2021,August,2021,August,2021,May
EUR,747.712,2021,August,2021,September,2021,June
EUR,747.959,2021,August,2021,August,2021,May
EUR,748.755,2021,August,2021,September,2021,June
EUR,748.848,2021,August,2021,August,2021,May
EUR,749.383,2021,September,2021,September,2021,June
EUR,749.678,2021,August,2021,August,2021,May
EUR,749.76147,2023,June,2023,June,2023,March
EUR,749.849,2020,October,2020,October,2020,July
EUR,750.279,2021,September,2021,September,2021,June
EUR,750.285,2021,August,2021,August,2021,May
EUR,750.404,2021,April,2021,April,2021,January
EUR,750.447,2021,August,2021,August,2021,May
EUR,750.869,2021,September,2021,September,2021,June
EUR,750.96,2021,September,2021,September,2021,June
EUR,750.985,2021,August,2021,August,2021,May
EUR,751.165,2021,March,2021,March,2020,December
EUR,751.285,2021,March,2021,March,2020,November
EUR,751.312,2021,August,2021,September,2021,June
EUR,751.593,2021,September,2021,September,2021,June
EUR,751.655,2020,October,2020,October,2020,July
EUR,751.685,2021,April,2021,April,2021,January
EUR,751.763,2020,October,2020,October,2020,July
EUR,751.919,2021,March,2021,March,2020,November
EUR,752.793,2021,July,2021,July,2021,April
EUR,753.355,2021,July,2021,July,2021,April
EUR,753.487,2021,August,2021,August,2021,May
EUR,753.626,2020,October,2020,October,2020,July
EUR,753.69,2020,October,2020,October,2020,July
EUR,753.7,2021,July,2021,July,2021,April
EUR,753.806,2020,October,2020,October,2020,July
EUR,753.86,2021,July,2021,August,2021,May
EUR,754.405,2020,October,2020,October,2020,July
EUR,754.504,2021,July,2021,July,2021,April
EUR,754.538,2021,July,2021,July,2021,April
EUR,754.691,2021,July,2021,August,2021,May
EUR,755.493,2021,July,2021,July,2021,April
EUR,756.375,2021,August,2021,August,2021,May
EUR,756.741,2021,February,2021,March,2020,November
EUR,756.846,2020,October,2020,October,2020,July
EUR,757.142,2021,August,2021,August,2021,May
EUR,758.305,2021,July,2021,July,2021,April
EUR,758.361,2021,July,2021,August,2021,May
EUR,758.933,2021,July,2021,July,2021,April
EUR,759.121,2021,August,2021,August,2021,May
EUR,759.345,2021,August,2021,August,2021,May
EUR,759.771,2021,July,2021,July,2021,April
EUR,759.865,2021,July,2021,August,2021,May
EUR,761.348,2021,July,2021,July,2021,April
EUR,761.505,2021,July,2021,July,2021,April
EUR,761.66064,2023,June,2023,June,2023,March
EUR,761.668,2020,October,2020,October,2020,July
EUR,761.895,2021,July,2021,July,2021,April
EUR,762.028,2021,July,2021,July,2021,April
EUR,762.618,2021,July,2021,July,2021,April
EUR,762.745,2021,July,2021,July,2021,April
EUR,762.873,2021,July,2021,July,2021,April
EUR,763.531,2021,June,2021,June,2021,March
EUR,763.988,2021,April,2021,April,2021,January
EUR,764.686,2021,June,2021,June,2021,March
EUR,765.055,2021,April,2021,April,2021,January
EUR,765.567,2021,July,2021,July,2021,April
EUR,765.776,2021,July,2021,July,2021,April
EUR,766.291,2021,June,2021,June,2021,March
EUR,766.512,2020,October,2020,October,2020,July
EUR,767.861,2020,November,2020,November,2020,August
EUR,767.9,2021,June,2021,July,2021,April
EUR,768.604,2020,November,2020,November,2020,August
EUR,769.057,2020,November,2020,December,2020,August
EUR,769.336,2020,November,2020,December,2020,August
EUR,769.336,2021,June,2021,July,2021,April
EUR,769.47,2020,November,2020,November,2020,August
EUR,770.061,2020,November,2020,November,2020,August
EUR,770.273,2020,November,2020,December,2020,August
EUR,770.649,2020,November,2020,November,2020,August
EUR,770.946,2020,October,2020,October,2020,July
EUR,770.95,2020,October,2020,October,2020,July
EUR,771.62,2021,February,2021,March,2020,November
EUR,771.903,2021,June,2021,July,2021,April
EUR,771.996,2020,October,2020,November,2020,July
EUR,772.812,2021,April,2021,April,2021,January
EUR,772.888,2021,June,2021,June,2021,March
EUR,773.102,2020,October,2020,November,2020,August
EUR,773.605,2020,October,2020,October,2020,July
EUR,773.722,2021,February,2021,March,2020,November
EUR,774.034,2021,June,2021,June,2021,March
EUR,774.036,2021,June,2021,July,2021,April
EUR,774.062,2020,November,2020,November,2020,August
EUR,774.068,2021,June,2021,June,2021,March
EUR,774.443,2020,October,2020,November,2020,August
EUR,774.485,2020,October,2020,October,2020,July
EUR,774.677,2021,May,2021,May,2021,February
EUR,775,2021,May,2021,May,2021,February
EUR,776.563,2021,April,2021,April,2021,January
EUR,776.935,2021,May,2021,May,2021,February
EUR,777.16,2021,May,2021,May,2021,January
EUR,777.571,2020,December,2020,December,2020,September
EUR,777.805,2021,May,2021,May,2021,February
EUR,777.847,2021,June,2021,June,2021,March
EUR,777.976,2021,June,2021,June,2021,March
EUR,778.072,2021,June,2021,June,2021,March
EUR,778.104,2021,June,2021,June,2021,March
EUR,778.643,2020,November,2020,December,2020,August
EUR,778.738,2020,November,2020,November,2020,August
EUR,779.189,2020,October,2020,November,2020,July
EUR,779.257,2020,November,2020,November,2020,August
EUR,779.293,2021,April,2021,May,2021,January
EUR,779.468,2021,May,2021,May,2021,February
EUR,779.541,2021,February,2021,February,2020,November
EUR,779.581,2021,June,2021,June,2021,March
EUR,779.693,2021,April,2021,April,2021,January
EUR,780.157,2021,February,2021,February,2020,November
EUR,780.407,2021,April,2021,May,2021,January
EUR,780.856,2020,November,2020,November,2020,August
EUR,780.929,2021,June,2021,June,2021,March
EUR,781.026,2020,February,2020,February,2019,November
EUR,781.026,2021,February,2021,February,2020,November
EUR,781.096,2021,April,2021,May,2021,January
EUR,781.295,2021,May,2021,May,2021,February
EUR,781.34,2020,November,2020,November,2020,August
EUR,781.378,2021,June,2021,June,2021,March
EUR,781.576,2021,April,2021,April,2021,January
EUR,781.612,2021,February,2021,February,2020,November
EUR,781.802,2021,February,2021,February,2020,November
EUR,781.828,2021,June,2021,June,2021,March
EUR,781.966,2021,May,2021,May,2021,February
EUR,782.289,2021,May,2021,June,2021,March
EUR,782.502,2021,May,2021,June,2021,March
EUR,782.524,2021,April,2021,May,2021,January
EUR,782.566,2021,June,2021,June,2021,March
EUR,782.598,2021,June,2021,June,2021,March
EUR,782.662,2021,June,2021,June,2021,March
EUR,782.907,2021,April,2021,April,2021,January
EUR,782.939,2021,May,2021,May,2021,February
EUR,783.073,2020,November,2020,November,2020,August
EUR,783.307,2021,February,2021,March,2020,November
EUR,783.318,2020,November,2020,November,2020,August
EUR,783.417,2020,November,2020,November,2020,August
EUR,783.702,2021,May,2021,June,2021,March
EUR,784.043,2021,April,2021,April,2021,January
EUR,784.074,2021,February,2021,February,2020,November
EUR,784.075,2020,December,2020,December,2020,September
EUR,784.085,2020,November,2020,November,2020,August
EUR,784.556,2021,June,2021,June,2021,March
EUR,784.566,2021,February,2021,February,2020,November
EUR,784.675,2021,May,2021,May,2021,February
EUR,784.804,2021,May,2021,May,2021,February
EUR,784.928,2021,February,2021,February,2020,November
EUR,785.153,2020,December,2020,December,2020,September
EUR,785.16,2021,April,2021,April,2021,January
EUR,785.331,2021,February,2021,February,2020,November
EUR,785.474,2020,November,2020,November,2020,August
EUR,785.5,2021,February,2021,February,2020,November
EUR,785.519,2021,May,2021,May,2021,February
EUR,785.56,2021,May,2021,May,2021,February
EUR,785.704,2020,December,2020,December,2020,September
EUR,785.929,2021,May,2021,May,2021,February
EUR,786.017,2021,May,2021,May,2021,February
EUR,786.349,2021,February,2021,February,2020,November
EUR,786.672,2021,January,2021,January,2020,October
EUR,786.826,2021,May,2021,June,2021,February
EUR,786.957,2021,February,2021,February,2020,November
EUR,787.146,2021,January,2021,February,2020,October
EUR,787.209,2021,May,2021,May,2021,February
EUR,787.984,2021,May,2021,May,2021,February
EUR,788.187,2021,January,2021,February,2020,October
EUR,788.232,2020,December,2020,December,2020,September
EUR,789.076,2020,December,2020,December,2020,September
EUR,789.13,2021,January,2021,January,2020,October
EUR,789.433,2020,December,2020,December,2020,September
EUR,789.549,2021,January,2021,February,2020,October
EUR,789.846,2021,January,2021,February,2020,October
EUR,790.06,2021,January,2021,January,2020,October
EUR,790.66,2021,January,2021,January,2020,October
EUR,790.777,2020,December,2020,December,2020,September
EUR,790.996,2021,January,2021,January,2020,October
EUR,791.054,2020,December,2020,December,2020,September
EUR,791.2,2020,December,2020,December,2020,September
EUR,791.445,2020,December,2020,December,2020,September
EUR,791.848,2021,January,2021,January,2020,October
EUR,792.268,2021,January,2021,January,2020,October
EUR,792.728,2020,December,2020,December,2020,September
EUR,793.183,2020,December,2020,December,2020,September
EUR,793.279,2021,January,2021,January,2020,October
EUR,793.703,2021,January,2021,January,2020,October
EUR,793.758,2021,January,2021,January,2020,October
EUR,793.769,2021,January,2021,January,2020,October
EUR,794.497,2020,December,2020,December,2020,September
EUR,795.036,2020,December,2021,January,2020,September
EUR,796.206,2020,December,2021,January,2020,September
EUR,796.565,2020,December,2020,December,2020,September
EUR,796.726,2020,December,2021,January,2020,October
EUR,797.23376,2023,June,2023,June,2023,March
EUR,797.508,2020,December,2020,December,2020,September
EUR,798.025,2021,January,2021,January,2020,October
EUR,798.429,2020,December,2021,January,2020,October
EUR,798.565,2021,January,2021,January,2020,October
EUR,799.088,2020,December,2020,December,2020,September
EUR,799.092,2021,January,2021,January,2020,October
EUR,799.743,2021,January,2021,January,2020,October
EUR,803.369,2021,January,2021,January,2020,October
EUR,808.24365,2023,June,2023,June,2023,March
EUR,817.79553,2023,June,2023,June,2023,March
EUR,825.32263,2023,June,2023,June,2023,March
EUR,857.21545,2023,June,2023,June,2023,March
EUR,863.82263,2023,June,2023,June,2023,March
EUR,864.7004,2023,October,2023,October,2023,July
EUR,867.0054,2023,October,2023,October,2023,July
EUR,867.9775,2023,October,2023,October,2023,July
EUR,868.3076,2023,October,2023,October,2023,July
EUR,868.7012,2023,October,2023,October,2023,July
EUR,869.3625,2023,October,2023,October,2023,July
EUR,869.8689,2023,October,2023,October,2023,July
EUR,870.3528,2023,September,2023,October,2023,July
EUR,870.6794,2023,September,2023,October,2023,July
EUR,871.0247,2023,October,2023,October,2023,July
EUR,871.0518,2023,October,2023,October,2023,July
EUR,871.603,2023,October,2023,October,2023,July
EUR,871.9199,2023,October,2023,November,2023,August
EUR,872.116,2023,November,2023,November,2023,August
EUR,872.416,2023,October,2023,October,2023,July
EUR,873.007,2023,October,2023,October,2023,July
EUR,873.0786,2023,October,2023,November,2023,August
EUR,873.5852,2023,October,2023,October,2023,July
EUR,873.7771,2023,October,2023,October,2023,July
EUR,874.8936,2023,September,2023,October,2023,July
EUR,875.0879,2023,October,2023,October,2023,July
EUR,875.11755,2023,June,2023,June,2023,March
EUR,875.297,2023,September,2023,October,2023,July
EUR,875.5674,2023,October,2023,October,2023,July
EUR,875.849,2023,September,2023,September,2023,June
EUR,876.8845,2023,October,2023,October,2023,July
EUR,876.8845,2023,October,2023,October,2023,August
EUR,877.5469,2023,October,2023,November,2023,August
EUR,877.8486,2023,October,2023,November,2023,August
EUR,878.609,2023,September,2023,September,2023,June
EUR,879.2656,2023,September,2023,September,2023,June
EUR,879.6458,2023,September,2023,September,2023,June
EUR,880.554,2023,September,2023,September,2023,June
EUR,881.9604,2023,September,2023,September,2023,June
EUR,881.983,2023,September,2023,September,2023,June
EUR,882.1531,2023,November,2023,November,2023,August
EUR,882.7319,2023,November,2023,November,2023,August
EUR,882.865,2023,September,2023,September,2023,June
EUR,882.98,2023,November,2023,November,2023,August
EUR,883.71,2023,September,2023,September,2023,June
EUR,883.7244,2023,November,2023,November,2023,August
EUR,883.9724,2023,November,2023,November,2023,August
EUR,884.103,2023,September,2023,September,2023,June
EUR,884.1226,2023,September,2023,September,2023,June
EUR,885.1775,2023,September,2023,September,2023,June
EUR,885.6077,2023,September,2023,September,2023,June
EUR,885.7446,2023,September,2023,September,2023,June
EUR,886.6045,2023,September,2023,September,2023,June
EUR,886.7847,2023,November,2023,November,2023,August
EUR,888.191,2023,November,2023,November,2023,August
EUR,891.1411,2023,August,2023,September,2023,June
EUR,891.1892,2023,September,2023,September,2023,June
EUR,891.5532,2023,August,2023,August,2023,June
EUR,893.0239,2023,August,2023,August,2023,May
EUR,893.1682,2023,July,2023,July,2023,April
EUR,893.4241,2023,August,2023,August,2023,May
EUR,893.59399,2023,June,2023,July,2023,March
EUR,893.8044,2023,June,2023,July,2023,March
EUR,893.8887,2023,September,2023,September,2023,June
EUR,894.8787,2023,August,2023,September,2023,June
EUR,895.7039,2023,July,2023,July,2023,April
EUR,895.95,2023,August,2023,August,2023,May
EUR,896.5581,2023,August,2023,August,2023,May
EUR,897.3496,2023,July,2023,July,2023,April
EUR,897.4094,2023,November,2023,November,2023,August
EUR,897.8049,2023,August,2023,August,2023,May
EUR,898.3713,2023,July,2023,July,2023,April
EUR,898.4463,2023,November,2023,November,2023,August
EUR,899.0652,2023,November,2023,November,2023,August
EUR,899.2268,2023,June,2023,July,2023,March
EUR,899.276,2023,July,2023,July,2023,April
EUR,899.415,2023,August,2023,August,2023,May
EUR,899.6626,2023,August,2023,August,2023,May
EUR,900.9824,2023,August,2023,August,2023,May
EUR,901.846,2023,August,2023,August,2023,May
EUR,902.0513,2023,August,2023,September,2023,June
EUR,902.3762,2023,November,2023,November,2023,August
EUR,902.3826,2023,August,2023,August,2023,May
EUR,902.6013,2023,August,2023,August,2023,May
EUR,902.6245,2023,November,2023,November,2023,August
EUR,902.734,2023,August,2023,August,2023,May
EUR,903.82495,2023,June,2023,July,2023,March
EUR,903.95,2023,November,,,2023,September
EUR,904.197,2023,November,2023,November,2023,August
EUR,904.445,2023,November,2023,November,2023,August
EUR,904.6951,2023,August,2023,August,2023,May
EUR,904.8127,2023,July,2023,July,2023,April
EUR,905.147,2023,July,2023,July,2023,April
EUR,905.2693,2023,August,2023,August,2023,May
EUR,905.5789,2023,August,2023,August,2023,May
EUR,906.763,2023,November,,,2023,August
EUR,907.011,2023,November,2023,November,2023,August
EUR,907.261,2023,November,,,2023,August
EUR,907.43,2023,August,2023,August,2023,May
EUR,907.6924,2023,July,2023,August,2023,May
EUR,907.8464,2023,August,2023,August,2023,May
EUR,909.165,2023,November,,,2023,September
EUR,910.071,2023,August,2023,August,2023,May
EUR,910.3694,2023,July,2023,July,2023,April
EUR,910.793,2023,July,2023,August,2023,May
EUR,912.939,2023,July,2023,August,2023,May
EUR,913.224,2023,July,2023,July,2023,April
EUR,914.8137,2023,July,2023,July,2023,April
EUR,916.4622,2023,July,2023,July,2023,April
EUR,921.6282,2023,July,2023,July,2023,April
EUR,922.2251,2023,July,2023,July,2023,April
EUR,923.75,2023,July,2023,July,2023,April
EUR,924.7805,2023,July,2023,July,2023,April
EUR,925.1687,2023,July,2023,July,2023,April
EUR,925.645,2023,July,2023,July,2023,April
GBP,92.452,2010,October,2010,October,2010,July
GBP,99.384,2009,March,2009,March,2008,November
GBP,101.801,2009,January,2009,January,2008,October
GBP,103.156,2009,January,2009,January,2008,September
GBP,103.395,2009,January,2009,January,2008,September
GBP,104.004,2009,March,2009,March,2008,November
GBP,104.168,2009,January,2009,January,2008,October
GBP,104.283,2009,March,2009,March,2008,November
GBP,104.351,2009,March,2009,March,2008,November
GBP,104.515,2009,January,2009,January,2008,September
GBP,105.129,2009,March,2009,March,2008,November
GBP,105.129,2009,March,2009,March,2008,December
GBP,105.225,2009,January,2009,January,2008,October
GBP,105.877,2009,March,2009,March,2008,November
GBP,106.225,2009,February,2009,February,2008,October
GBP,106.254,2009,February,2009,February,2008,October
GBP,106.407,2009,February,2009,February,2008,October
GBP,106.427,2009,March,2009,March,2008,November
GBP,106.592,2009,February,2009,February,2008,October
GBP,106.634,2009,February,2009,March,2008,November
GBP,106.646,2009,January,2009,February,2008,October
GBP,106.754,2009,March,2009,March,2008,November
GBP,106.793,2009,March,2009,March,2008,November
GBP,106.87,2009,January,2009,January,2008,October
GBP,107.282,2009,January,2009,February,2008,October
GBP,107.331,2009,February,2009,February,2008,October
GBP,107.365,2009,February,2009,February,2008,November
GBP,107.564,2009,February,2009,February,2008,October
GBP,107.74,2009,February,2009,February,2008,October
GBP,107.798,2009,February,2009,February,2008,October
GBP,107.812,2009,February,2009,February,2008,October
GBP,107.853,2009,February,2009,March,2008,November
GBP,107.881,2009,March,2009,March,2008,November
GBP,107.912,2009,March,2009,March,2008,December
GBP,107.945,2009,March,2009,April,2008,December
GBP,107.979,2009,March,2009,April,2008,December
GBP,108.045,2009,February,2009,February,2008,October
GBP,108.088,2009,February,2009,February,2008,October
GBP,108.601,2008,December,2009,January,2008,September
GBP,108.904,2009,March,2009,March,2008,December
GBP,108.945,2009,January,2009,January,2008,September
GBP,108.967,2009,January,2009,January,2008,September
GBP,109.066,2009,January,2009,January,2008,September
GBP,109.084,2009,March,2009,March,2008,December
GBP,109.127,2008,December,2008,December,2008,August
GBP,109.253,2009,January,2009,January,2008,September
GBP,109.285,2009,February,2009,February,2008,October
GBP,109.305,2009,March,2009,March,2008,December
GBP,109.688,2009,March,2009,April,2008,December
GBP,109.696,2009,January,2009,January,2008,September
GBP,110.02,2008,December,2008,December,2008,September
GBP,110.137,2009,March,2009,March,2008,December
GBP,110.262,2009,February,2009,February,2008,October
GBP,110.529,2009,March,2009,March,2008,December
GBP,110.901,2008,December,2008,December,2008,August
GBP,111.147,2008,December,2008,December,2008,September
GBP,111.169,2008,November,2008,November,2008,August
GBP,111.262,2008,December,2008,December,2008,September
GBP,111.297,2008,November,2008,November,2008,August
GBP,111.302,2009,February,2009,February,2008,October
GBP,111.355,2009,April,2009,April,2008,December
GBP,111.731,2009,January,2009,January,2008,September
GBP,111.903,2009,April,2009,April,2009,January
GBP,111.955,2008,November,2008,December,2008,August
GBP,112.003,2009,March,2009,April,2008,December
GBP,112.102,2009,February,2009,February,2008,October
GBP,112.156,2009,April,2009,April,2009,January
GBP,112.211,2009,January,2009,January,2008,September
GBP,112.261,2008,November,2008,November,2008,August
GBP,112.336,2009,April,2009,April,2009,January
GBP,112.574,2009,April,2009,April,2009,January
GBP,112.615,2009,April,2009,April,2009,January
GBP,112.856,2009,April,2009,April,2009,January
GBP,112.887,2009,April,2009,April,2008,December
GBP,113.04,2009,January,2009,January,2008,September
GBP,113.247,2008,December,2008,December,2008,September
GBP,113.539,2009,April,2009,April,2009,January
GBP,113.795,2008,November,2008,November,2008,August
GBP,113.872,2008,November,2008,November,2008,August
GBP,113.872,2009,April,2009,April,2009,January
GBP,114.105,2009,January,2009,January,2008,September
GBP,114.25,2009,April,2009,April,2009,January
GBP,114.315,2009,April,2009,April,2009,January
GBP,114.318,2009,April,2009,April,2009,January
GBP,114.493,2009,April,2009,May,2009,January
GBP,114.778,2008,November,2008,November,2008,August
GBP,115.013,2009,January,2009,January,2008,September
GBP,115.443,2008,December,2008,December,2008,September
GBP,115.466,2008,December,2008,December,2008,September
GBP,116.309,2009,April,2009,May,2009,January
GBP,116.654,2009,April,2009,April,2009,January
GBP,116.829,2009,April,2009,May,2009,January
GBP,116.837,2009,April,2009,May,2009,February
GBP,116.865,2008,October,2008,October,2008,August
GBP,116.868,2009,May,2009,May,2009,February
GBP,116.984,2009,May,2009,May,2009,February
GBP,117.489,2009,May,2009,May,2009,February
GBP,117.497,2009,May,2009,May,2009,February
GBP,117.504,2009,May,2009,May,2009,February
GBP,117.558,2008,October,2008,October,2008,August
GBP,117.752,2008,November,2008,November,2008,August
GBP,117.893,2009,May,2009,May,2009,February
GBP,118.131,2009,April,2009,April,2009,January
GBP,118.162,2008,November,2008,November,2008,August
GBP,118.296,2009,May,2009,May,2009,February
GBP,118.366,2009,May,2009,May,2009,February
GBP,119.247,2008,November,2008,November,2008,August
GBP,119.91,2008,November,2008,November,2008,August
GBP,120.011,2009,May,2009,May,2009,February
GBP,120.577,2008,October,2008,October,2008,August
GBP,120.992,2008,October,2008,November,2008,August
GBP,121.377,2009,May,2009,May,2009,February
GBP,121.866,2009,May,2009,May,2009,February
GBP,122.584,2008,October,2008,October,2008,August
GBP,123.271,2009,September,2009,September,2009,July
GBP,123.294,2009,May,2009,May,2009,February
GBP,123.659,2009,June,2009,June,2009,March
GBP,123.667,2009,May,2009,May,2009,February
GBP,123.853,2009,September,2009,September,2009,July
