DATE _GBP_FILTER,(All),,
DATE_EUR_FILTER,(All),,
DATE_USD_FILTER,(All),,
,,,
Row Labels,Sum of USD,Sum of GBP,Sum of EUR
06/01/2004,79.01866,140.84286,99.68994
07/01/2004,78.87716,143.36713,100.33175
08/01/2004,78.84478,143.09539,99.77018
09/01/2004,78.90775,143.2728,99.38431
10/01/2004,78.92975,144.73348,100.50125
11/01/2004,78.76539,146.18856,101.46558
12/01/2004,79.00465,145.79518,100.96004
13/01/2004,79.46565,145.87509,100.57967
14/01/2004,79.69597,145.78784,100.88713
15/01/2004,79.87251,144.80886,99.81668
16/01/2004,79.94416,142.90019,98.779
17/01/2004,80.0311,144.13601,99.91883
18/01/2004,79.97657,146.68503,101.18636
19/01/2004,80.01058,146.76341,101.3414
20/01/2004,80.02076,148.07842,102.1385
21/01/2004,80.09064,146.03727,100.76203
22/01/2004,80.10916,144.47687,99.82402
23/01/2004,80.17347,146.73348,101.05866
24/01/2004,80.17503,145.95864,100.29095
25/01/2004,80.1535,145.04577,99.14988
26/01/2004,80.12158,145.96549,99.83149
27/01/2004,79.97567,146.68338,100.32148
28/01/2004,79.98737,146.70484,100.65611
29/01/2004,79.89008,146.75808,100.23009
30/01/2004,79.8788,148.47073,101.81352
31/01/2004,80.26516,149.96742,102.53874
01/02/2004,79.92951,149.34829,101.3746
02/02/2004,79.83896,150.99144,102.27371
03/02/2004,79.74347,150.89857,102.18328
04/02/2004,79.73608,150.42211,101.75121
05/02/2004,79.73081,151.28124,102.32652
06/02/2004,79.8078,152.36905,102.85629
07/02/2004,79.77898,150.63069,101.32728
08/02/2004,79.82009,150.43692,101.00434
09/02/2004,79.81087,148.24071,100.23447
10/02/2004,79.78859,150.57703,101.05225
11/02/2004,79.8149,149.41349,99.68881
12/02/2004,79.83841,148.60323,99.27108
13/02/2004,79.83841,149.12923,99.63768
14/02/2004,79.82509,148.7612,99.10496
15/02/2004,79.82036,146.4957,97.15029
16/02/2004,79.82112,146.16531,97.33711
17/02/2004,79.82377,145.24257,97.42454
18/02/2004,79.84309,148.03322,99.38425
19/02/2004,79.93586,145.47428,98.22691
20/02/2004,79.91775,143.50557,97.33025
21/02/2004,79.92958,143.80374,98.13309
22/02/2004,79.99763,144.9035,98.37793
23/02/2004,79.98206,145.5493,99.09603
24/02/2004,80.38289,146.18893,98.45163
25/02/2004,80.67822,145.91661,98.22894
26/02/2004,79.93241,146.64234,98.87989
27/02/2004,80.07117,146.77829,98.33225
28/02/2004,80.00997,147.75686,98.72601
29/02/2004,80.0373,148.14527,98.7528
01/03/2004,80.31295,146.48455,97.68857
02/03/2004,80.52141,146.58994,98.03821
03/03/2004,80.58377,146.74943,97.91101
04/03/2004,80.75135,147.23798,98.5383
05/03/2004,80.77572,148.664,99.13635
06/03/2004,81.04672,149.42481,99.60576
07/03/2004,80.83571,149.97636,99.77371
08/03/2004,80.97201,148.53181,97.96589
09/03/2004,80.97024,148.83598,97.98943
10/03/2004,81.04328,149.31367,98.6935
11/03/2004,81.10906,148.83341,98.0645
12/03/2004,81.15235,148.40679,97.40895
13/03/2004,81.18089,146.28352,96.56529
14/03/2004,81.10641,144.98521,96.81637
15/03/2004,81.1333,145.57048,97.24742
16/03/2004,81.2562,147.42993,98.11864
17/03/2004,81.27787,146.10081,97.1022
18/03/2004,81.36601,144.29805,96.40518
19/03/2004,81.5059,144.25363,96.62364
20/03/2004,81.65608,145.0496,97.07203
21/03/2004,81.52518,145.46015,96.59291
22/03/2004,81.54053,146.37624,97.11061
23/03/2004,81.64672,146.01841,97.4164
24/03/2004,81.68405,144.44473,96.6206
25/03/2004,81.70875,144.51066,97.69136
26/03/2004,81.70907,144.84132,97.71009
27/03/2004,81.6974,146.16308,98.35433
28/03/2004,81.69643,146.92794,99.38258
29/03/2004,81.74926,146.61866,99.44684
30/03/2004,81.78194,146.97873,98.77704
31/03/2004,81.85038,145.2251,96.74308
01/04/2004,81.84001,143.88888,96.79083
02/04/2004,81.85271,145.03149,97.25275
03/04/2004,81.89705,145.10462,97.35126
04/04/2004,81.98001,143.53813,96.66971
05/04/2004,81.92348,145.14474,98.65774
06/04/2004,82.01658,144.87295,98.4351
07/04/2004,82.11821,146.63485,98.6245
08/04/2004,82.13917,145.12626,98.03807
09/04/2004,82.16399,147.1912,98.96291
10/04/2004,82.17463,147.0625,98.29097
11/04/2004,82.18996,149.53773,99.75759
12/04/2004,82.21328,149.96524,99.93024
13/04/2004,82.21328,151.22396,100.91208
14/04/2004,82.37048,151.38787,100.79049
15/04/2004,82.5002,152.29325,101.34168
16/04/2004,82.56614,151.3534,100.883
17/04/2004,82.57592,152.17901,101.08308
18/04/2004,82.74646,152.32043,102.0354
19/04/2004,82.78734,152.71001,102.09097
20/04/2004,82.80556,152.14589,101.12413
21/04/2004,82.82753,151.41984,99.98517
22/04/2004,82.87895,151.54547,99.9242
23/04/2004,83.16621,150.62911,100.01167
24/04/2004,83.21131,151.15672,100.26577
25/04/2004,83.30489,152.50877,100.89915
26/04/2004,83.4567,152.97574,100.5336
27/04/2004,83.5066,153.07809,100.43661
28/04/2004,83.55791,153.28634,101.13221
29/04/2004,83.58034,152.11195,100.97331
30/04/2004,83.58718,151.96994,101.30772
01/05/2004,83.61482,152.01591,101.41083
02/05/2004,83.61711,152.27175,101.39743
03/05/2004,83.61985,152.64691,101.61426
04/05/2004,83.52315,151.95573,101.31216
05/05/2004,83.35019,150.74222,101.10342
06/05/2004,83.37051,151.53424,101.57863
07/05/2004,83.37051,151.92246,101.496
08/05/2004,83.51518,153.70537,103.119
09/05/2004,83.89115,153.8164,103.05061
10/05/2004,83.92427,155.21742,103.62346
11/05/2004,83.75643,154.91851,103.4298
12/05/2004,83.77596,155.16352,103.79702
13/05/2004,83.7816,156.04857,104.02401
14/05/2004,83.70806,155.22226,103.38404
15/05/2004,83.54266,155.15615,103.38448
16/05/2004,83.61058,154.76976,103.43081
17/05/2004,83.65481,155.2399,103.32599
18/05/2004,83.63768,156.36652,103.86512
19/05/2004,83.65425,155.71283,103.99007
20/05/2004,83.77513,154.61751,103.17058
21/05/2004,83.85807,154.0346,102.82111
22/05/2004,83.8603,153.83913,102.20991
23/05/2004,83.88175,154.45783,101.98478
24/05/2004,83.88976,154.70691,102.23759
25/05/2004,83.88381,152.53798,100.90625
26/05/2004,83.88582,152.51566,100.90788
27/05/2004,83.91508,152.52494,101.20743
28/05/2004,83.97563,153.87714,101.4593
29/05/2004,83.98949,152.74274,100.93011
30/05/2004,83.96149,152.83972,100.89941
31/05/2004,83.97787,153.35998,101.30717
01/06/2004,84.03747,153.2461,101.31779
02/06/2004,84.0672,154.98846,103.15744
03/06/2004,84.10031,154.62098,103.58815
04/06/2004,84.11543,153.887,102.95346
05/06/2004,84.21551,154.40895,103.39727
06/06/2004,84.28896,153.35708,102.9922
07/06/2004,84.41984,155.57007,104.31322
08/06/2004,84.48467,162.951,130.763
09/06/2004,97.599,154.89742,104.51614
10/06/2004,84.73137,155.13757,104.96596
11/06/2004,84.82098,155.1481,104.75913
12/06/2004,84.88707,154.41121,104.24393
13/06/2004,84.98608,153.47226,103.18206
14/06/2004,85.02147,152.90493,102.92071
15/06/2004,85.07953,152.5898,102.54878
16/06/2004,85.06037,153.25537,102.94452
17/06/2004,85.08515,152.30213,102.49386
18/06/2004,85.12779,152.63135,103.01553
19/06/2004,85.03139,152.00473,103.07158
20/06/2004,84.77676,152.2357,103.38123
21/06/2004,84.78736,151.09502,102.50425
22/06/2004,85.18004,150.48124,102.07753
23/06/2004,84.75628,150.59944,102.37278
24/06/2004,84.5923,150.62613,102.38949
25/06/2004,84.56367,151.57475,103.46063
26/06/2004,84.75951,151.96959,103.80069
27/06/2004,84.88729,153.01476,104.29343
28/06/2004,84.99893,153.30643,104.61321
29/06/2004,85.10276,153.11544,104.65751
30/06/2004,85.32192,152.69677,104.32363
01/07/2004,85.44865,153.59526,104.49704
